Type,Slope,Intercept,R-squared,P-value
Autres déchets,1385.6048214285713,-2779723.1666071424,0.21255576067063167,0.29777607611875023
DEEE,1963.509821428571,-3930506.5987499994,0.9152311669580698,0.0007329794593787179
Déblais et gravats,6264.785357142858,-12236739.558928572,0.6832806403356596,0.021849715658798688
Déchets dangereux,148.1589285714285,-283448.0639285713,0.08148696486414277,0.5348903659423996
Déchets verts,8139.127142857139,-16101066.75857142,0.47259296531658707,0.08787428991745024
Encombrants,7854.365357142856,-15496715.913214283,0.8344164183805947,0.004036547316052468
Matériaux recyclables,5484.045714285713,-10889515.84285714,0.912806869852788,0.0007872474322746869
Mobilier,11638.2965,-23438796.1345,0.9912928674386269,0.004363084534012019
